;VIF
[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa.;2.570
[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa.;3.325
[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica.;1.949
[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica.;2.480
[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica.;1.945
[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica.;2.715
[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica.;2.293
[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia.;2.173
[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica.;2.582
[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais.;2.727
[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante.;3.038
[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia.;2.819
[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia.;2.402
[SM2] Minha empresa controla e monitora seus dados técnicos.;2.736
[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia.;1.972
[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos.;1.611
[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia.;3.153
[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica.;2.879
[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica.;2.139
[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente.;2.439
[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão.;2.994
[SV3] Minha organização está ciente da necessidade de proteção tecnológica.;2.264
[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia.;2.518
[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica.;3.568
[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios.;3.132
[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa.;4.139
[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão.;3.947
[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia.;2.222
[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas.;2.220
[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas.;1.827
[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança.;1.746
﻿[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica.;2.609
